measure,dateTime,date,value,completeness,quality
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-26T9::,26/03/2002,4,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-27T9::,27/03/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-28T9::,28/03/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-29T9::,29/03/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-3T9::,03/03/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-3-31T9::,31/03/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-1T9::,01/04/2002,8,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-2T9::,02/04/2002,21,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-3T9::,03/04/2002,16,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-4T9::,04/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-5T9::,05/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-6T9::,06/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-7T9::,07/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-8T9::,08/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-9T9::,09/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-1T9::,01/04/2002,4,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-11T9::,11/04/2002,3,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-12T9::,12/04/2002,9,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-13T9::,13/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-14T9::,14/04/2002,8,Complete,Suspect
