measure,dateTime,date,value,completeness,quality,qcode,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-07T09:00:00,07/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-08T09:00:00,08/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-09T09:00:00,09/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-10T09:00:00,10/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-11T09:00:00,11/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-12T09:00:00,12/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-13T09:00:00,13/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-14T09:00:00,14/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-15T09:00:00,15/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-16T09:00:00,16/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-17T09:00:00,17/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-18T09:00:00,18/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-19T09:00:00,19/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-20T09:00:00,20/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-21T09:00:00,21/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-22T09:00:00,22/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-23T09:00:00,23/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-24T09:00:00,24/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-25T09:00:00,25/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-26T09:00:00,26/03/2000,7.013151,Incomplete,Good,,,,
